iter	Passed	Remaining
0	153	76795
1	165	41097
2	176	29196
3	200	24857
4	211	20954
5	223	18389
6	234	16492
7	245	15088
8	256	13998
9	267	13098
10	278	12387
11	289	11791
12	302	11344
13	314	10904
14	325	10520
15	336	10183
16	347	9868
17	358	9591
18	369	9350
19	380	9127
20	391	8940
21	403	8768
22	415	8624
23	426	8465
24	437	8314
25	450	8207
26	461	8082
27	472	7971
28	484	7872
29	496	7772
30	507	7680
31	519	7599
32	530	7509
33	541	7425
34	553	7347
35	564	7270
36	574	7192
37	586	7124
38	597	7064
39	608	6999
40	619	6937
41	630	6879
42	641	6821
43	652	6764
44	663	6712
45	685	6766
46	697	6725
47	710	6690
48	722	6648
49	733	6602
50	744	6558
51	756	6518
52	767	6474
53	779	6435
54	790	6392
55	801	6352
56	813	6323
57	825	6288
58	836	6255
59	847	6218
60	859	6183
61	870	6148
62	881	6111
63	892	6082
64	903	6047
65	914	6015
66	926	5985
67	949	6034
68	960	6001
69	971	5969
70	983	5942
71	994	5911
72	1005	5878
73	1016	5850
74	1027	5820
75	1037	5790
76	1048	5762
77	1060	5736
78	1071	5710
79	1082	5685
80	1094	5660
81	1105	5635
82	1116	5608
83	1127	5586
84	1139	5564
85	1151	5541
86	1162	5518
87	1174	5497
88	1185	5472
89	1196	5448
90	1207	5427
91	1218	5403
92	1229	5378
93	1239	5355
94	1251	5333
95	1261	5310
96	1273	5290
97	1284	5269
98	1295	5248
99	1307	5228
100	1317	5206
101	1329	5185
102	1340	5164
103	1350	5144
104	1362	5124
105	1373	5104
106	1383	5082
107	1395	5064
108	1406	5044
109	1417	5024
110	1428	5005
111	1439	4986
112	1450	4966
113	1461	4947
114	1472	4930
115	1484	4912
116	1495	4896
117	1507	4879
118	1518	4861
119	1529	4844
120	1541	4827
121	1552	4809
122	1563	4791
123	1574	4773
124	1586	4758
125	1597	4740
126	1608	4723
127	1619	4707
128	1630	4689
129	1641	4671
130	1652	4655
131	1663	4637
132	1674	4620
133	1686	4605
134	1697	4588
135	1708	4571
136	1719	4555
137	1730	4540
138	1741	4523
139	1753	4507
140	1764	4491
141	1775	4475
142	1786	4460
143	1797	4443
144	1808	4428
145	1820	4413
146	1830	4396
147	1841	4379
148	1852	4363
149	1863	4347
150	1873	4331
151	1885	4316
152	1896	4301
153	1907	4286
154	1918	4270
155	1929	4254
156	1940	4239
157	1951	4224
158	1962	4209
159	1974	4195
160	1986	4182
161	1997	4167
162	2008	4152
163	2019	4137
164	2029	4121
165	2040	4106
166	2051	4091
167	2063	4078
168	2074	4063
169	2085	4048
170	2097	4035
171	2110	4024
172	2121	4010
173	2133	3996
174	2144	3982
175	2156	3969
176	2167	3955
177	2179	3943
178	2190	3928
179	2201	3912
180	2211	3897
181	2222	3883
182	2233	3869
183	2244	3854
184	2255	3840
185	2266	3826
186	2277	3811
187	2288	3797
188	2299	3784
189	2310	3769
190	2320	3754
191	2331	3740
192	2342	3725
193	2352	3711
194	2364	3698
195	2375	3684
196	2386	3671
197	2398	3657
198	2409	3644
199	2419	3629
200	2430	3615
201	2441	3602
202	2452	3588
203	2464	3576
204	2476	3563
205	2487	3549
206	2498	3536
207	2509	3522
208	2520	3509
209	2531	3495
210	2543	3483
211	2554	3470
212	2565	3457
213	2581	3449
214	2595	3440
215	2609	3430
216	2623	3420
217	2636	3409
218	2646	3396
219	2660	3386
220	2672	3373
221	2684	3361
222	2695	3347
223	2705	3334
224	2717	3320
225	2728	3307
226	2739	3294
227	2750	3280
228	2761	3267
229	2772	3254
230	2783	3241
231	2794	3228
232	2805	3215
233	2818	3203
234	2829	3190
235	2840	3177
236	2851	3164
237	2862	3151
238	2873	3137
239	2884	3124
240	2894	3111
241	2905	3098
242	2916	3084
243	2927	3071
244	2938	3058
245	2949	3045
246	2960	3032
247	2972	3020
248	2983	3007
249	2994	2994
250	3004	2980
251	3015	2968
252	3026	2954
253	3037	2942
254	3049	2930
255	3060	2917
256	3071	2904
257	3082	2891
258	3104	2888
259	3115	2875
260	3126	2863
261	3137	2850
262	3148	2837
263	3159	2824
264	3170	2811
265	3182	2799
266	3193	2786
267	3204	2773
268	3215	2761
269	3226	2748
270	3237	2735
271	3248	2723
272	3259	2710
273	3271	2697
274	3282	2685
275	3293	2672
276	3303	2659
277	3314	2647
278	3325	2634
279	3336	2621
280	3347	2608
281	3358	2596
282	3369	2583
283	3380	2571
284	3392	2558
285	3403	2546
286	3413	2533
287	3424	2520
288	3435	2508
289	3446	2495
290	3458	2483
291	3469	2471
292	3480	2458
293	3491	2446
294	3502	2434
295	3513	2421
296	3524	2409
297	3535	2396
298	3547	2384
299	3558	2372
300	3570	2360
301	3581	2348
302	3592	2335
303	3603	2323
304	3615	2311
305	3626	2299
306	3637	2286
307	3648	2274
308	3659	2262
309	3671	2250
310	3682	2238
311	3693	2225
312	3704	2213
313	3716	2201
314	3727	2189
315	3738	2177
316	3750	2164
317	3761	2152
318	3772	2140
319	3783	2128
320	3795	2116
321	3806	2104
322	3817	2092
323	3829	2080
324	3840	2068
325	3852	2055
326	3863	2043
327	3874	2031
328	3885	2019
329	3896	2007
330	3907	1995
331	3918	1982
332	3929	1970
333	3940	1958
334	3952	1946
335	3963	1934
336	3975	1923
337	3987	1911
338	3998	1898
339	4009	1886
340	4020	1874
341	4031	1862
342	4043	1850
343	4054	1838
344	4064	1826
345	4076	1814
346	4086	1801
347	4097	1789
348	4109	1777
349	4120	1765
